date,positive,death,deathIncrease,positiveIncrease
2020-01-22,1,0,0,1
2020-01-23,1,0,0,0
2020-01-24,2,0,0,1
2020-01-25,2,0,0,0
2020-01-26,5,0,0,3
2020-01-27,5,0,0,0
2020-01-28,5,0,0,0
2020-01-29,5,0,0,0
2020-01-30,5,0,0,0
2020-01-31,7,0,0,2
2020-02-01,8,0,0,1
2020-02-02,8,0,0,0
2020-02-03,11,0,0,3
2020-02-04,11,0,0,0
2020-02-05,11,0,0,0
2020-02-06,11,0,0,0
2020-02-07,11,0,0,0
2020-02-08,11,0,0,0
2020-02-09,11,0,0,0
2020-02-10,11,0,0,0
2020-02-11,12,0,0,1
2020-02-12,12,0,0,0
2020-02-13,13,0,0,1
2020-02-14,13,0,0,0
2020-02-15,13,0,0,0
2020-02-16,13,0,0,0
2020-02-17,13,0,0,0
2020-02-18,13,0,0,0
2020-02-19,13,0,0,0
2020-02-20,13,0,0,0
2020-02-21,15,0,0,2
2020-02-22,15,0,0,0
2020-02-23,15,0,0,0
2020-02-24,51,0,0,36
2020-02-25,51,0,0,0
2020-02-26,57,0,0,6
2020-02-27,58,0,0,1
2020-02-28,60,0,0,2
2020-02-29,68,1,1,8
2020-03-01,74,1,0,6
2020-03-02,98,6,5,24
2020-03-03,118,7,1,20
2020-03-04,149,11,4,31
2020-03-05,217,12,1,68
2020-03-06,262,14,2,45
2020-03-07,402,17,3,140
2020-03-08,518,21,4,116
2020-03-09,583,22,1,65
2020-03-10,959,28,6,376
2020-03-11,1281,36,8,322
2020-03-12,1663,41,5,382
2020-03-13,2179,49,8,516
2020-03-14,2727,58,9,548
2020-03-15,3499,73,15,772
2020-03-16,4632,99,26,1133
2020-03-17,6421,133,34,1789
2020-03-18,7783,164,31,1362
2020-03-19,13747,258,94,5964
2020-03-20,19273,349,91,5526
2020-03-21,25600,442,93,6327
2020-03-22,33276,586,144,7676
2020-03-23,43843,786,200,10567
2020-03-24,53736,1008,222,9893
2020-03-25,65778,1316,308,12042
2020-03-26,83836,1726,410,18058
2020-03-27,101657,2265,539,17821
2020-03-28,121465,2731,466,19808
2020-03-29,140909,3420,689,19444
2020-03-30,161831,4192,772,20922
2020-03-31,188172,5367,1175,26341
2020-04-01,213242,6501,1134,25070
2020-04-02,243622,7921,1420,30380
2020-04-03,275367,9246,1325,31745
2020-04-04,308650,10855,1609,33283
2020-04-05,336802,12375,1520,28152
2020-04-06,366317,13894,1519,29515
2020-04-07,397121,16191,2297,30804
2020-04-08,428654,18270,2079,31533
2020-04-09,462780,20255,1985,34126
2020-04-10,496535,22333,2078,33755
2020-04-11,526396,24342,2009,29861
2020-04-12,555313,26086,1744,28917
2020-04-13,580619,27870,1784,25306
2020-04-14,607670,30262,2392,27051
2020-04-15,636350,32734,2472,28680
2020-04-16,667592,34827,2093,31242
2020-04-17,699706,37411,2584,32114
2020-04-18,732197,39753,2342,32491
2020-04-19,758809,40945,1192,26612
2020-04-20,784326,42659,1714,25517
2020-04-21,811865,45086,2427,27539
2020-04-22,840351,47412,2326,28486
2020-04-23,869170,49724,2312,28819
2020-04-24,905358,51493,1769,36188
2020-04-25,938154,53755,2262,32796
2020-04-26,965785,54881,1126,27631
2020-04-27,988197,56219,1338,22412
2020-04-28,1012582,58355,2136,24385
2020-04-29,1039909,60967,2612,27327
2020-04-30,1069424,62996,2029,29515
2020-05-01,1103461,64943,1947,34037
2020-05-02,1132539,66369,1426,29078
2020-05-03,1158040,67682,1313,25501
2020-05-04,1180375,68922,1240,22335
2020-05-05,1204351,71064,2142,23976
2020-05-06,1228603,73431,2367,24252
